Name,Price,Original Price,Image,Type,Stock,Date
Tsuru Katana,135.85,159.82,https://yarinohanzo.com/14156-home_default/tsuru-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Hishikari Katana,135.85,159.82,https://yarinohanzo.com/14142-home_default/hishikari-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Takenomori Katana,135.85,159.82,https://yarinohanzo.com/14128-home_default/takenomori-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Shibata Katana,127.86,159.82,https://yarinohanzo.com/14115-home_default/shibata-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Kochō Katana,127.86,159.82,https://yarinohanzo.com/14103-home_default/kocho-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Suiryu Katana,135.85,159.82,https://yarinohanzo.com/14088-home_default/suiryu-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Asakura Wakizashi,95.65,136.64,https://yarinohanzo.com/13516-home_default/asakura-wakizashi-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Musha Wakizashi,106.58,136.64,https://yarinohanzo.com/13506-home_default/musha-wakizashi-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Musashi Wakizashi Basic,106.75,152.50,https://yarinohanzo.com/13497-home_default/musashi-wakizashi-basic-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Yuki Katana,96.08,128.10,https://yarinohanzo.com/12259-home_default/yuki-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Asakura Katana,105.47,115.90,https://yarinohanzo.com/12250-home_default/asakura-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Musha Katana,117.02,132.98,https://yarinohanzo.com/11116-home_default/musha-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Musashi Katana,117.58,148.84,https://yarinohanzo.com/11107-home_default/musashi-katana-iaito-practice-sword-handmade-samurai-sword.jpg,basic,True,2026-07-28
Ronin Katana,149.28,196.42,https://yarinohanzo.com/12174-home_default/ronin-katana-iaito-practice-sword-handmade-samurai-sword.jpg,practical,True,2026-07-28
Musashi Wakizashi,161.06,196.42,https://yarinohanzo.com/11206-home_default/musashi-wakizashi-iaito-practice-sword-handmade-samurai-sword.jpg,practical,True,2026-07-28
Yagyu Katana,139.08,185.44,https://yarinohanzo.com/11196-home_default/yagyu-katana-iaito-practice-sword-handmade-samurai-sword.jpg,practical,True,2026-07-28
Yamamoto Katana,149.40,191.54,https://yarinohanzo.com/11156-home_default/yamamoto-katana-iaito-practice-sword-handmade-samurai-sword.jpg,practical,True,2026-07-28
Nanbu Katana,148.35,185.44,https://yarinohanzo.com/11146-home_default/nanbu-katana-iaito-practice-sword-handmade-samurai-sword.jpg,practical,True,2026-07-28
Musashi Katana,174.24,235.46,https://yarinohanzo.com/11135-home_default/musashi-katana-iaito-practice-sword-handmade-samurai-sword-1.jpg,practical,True,2026-07-28
